Uid,Sid,Key,Time,Value,UpdateTime
6804018672,hlth.gen_125884730179666,steps,1748480340,"{""time"":1748480340,""steps"":11,""distance"":6,""calories"":0.44}",1748488482
6804018672,hlth.gen_125884730179666,calories,1748480340,"{""time"":1748480340,""calories"":0.44}",1748488483
6804018672,893061509,calories,1748480280,"{""time"":1748480280,""calories"":1}",1748489703
6804018672,hlth.gen_125884730179666,calories,1748480280,"{""time"":1748480280,""calories"":0.91999996}",1748488483
6804018672,hlth.gen_125884730179666,steps,1748480280,"{""time"":1748480280,""steps"":23,""distance"":13,""calories"":0.91999996}",1748488482
6804018672,hlth.gen_125884730179666,calories,1748480160,"{""time"":1748480160,""calories"":0.64}",1748488483
6804018672,893061509,calories,1748480160,"{""time"":1748480160,""calories"":1}",1748489703
6804018672,hlth.gen_125884730179666,steps,1748480160,"{""time"":1748480160,""steps"":16,""distance"":9,""calories"":0.64}",1748488482
6804018672,893061509,steps,1748480100,"{""time"":1748480100,""steps"":12,""distance"":9,""calories"":0}",1748489703
6804018672,hlth.gen_125884730179666,calories,1748480100,"{""time"":1748480100,""calories"":0.52}",1748488483
6804018672,hlth.gen_125884730179666,steps,1748480100,"{""time"":1748480100,""steps"":13,""distance"":7,""calories"":0.52}",1748488482
6804018672,hlth.gen_125884730179666,calories,1748480040,"{""time"":1748480040,""calories"":0.96}",1748488483
6804018672,hlth.gen_125884730179666,steps,1748480040,"{""time"":1748480040,""steps"":24,""distance"":14,""calories"":0.96}",1748488482
6804018672,hlth.gen_125884730179666,calories,1748479980,"{""time"":1748479980,""calories"":1.3199999}",1748488483
6804018672,hlth.gen_125884730179666,steps,1748479980,"{""time"":1748479980,""steps"":33,""distance"":19,""calories"":1.3199999}",1748488482
6804018672,hlth.gen_125884730179666,calories,1748479920,"{""time"":1748479920,""calories"":0.35999998}",1748488483
6804018672,hlth.gen_125884730179666,steps,1748479920,"{""time"":1748479920,""steps"":9,""distance"":5,""calories"":0.35999998}",1748488482
6804018672,893061509,resting_heart_rate,1748476800,"{""bpm"":86,""date_time"":1748476800}",1748492122
6804018672,893061509,valid_stand,1748476800,"{""end_time"":1748480400,""start_time"":1748476800}",1748492123
6804018672,893061509,vitality,1748476800,"{""daily_high_intensity_vitality"":0,""daily_low_intensity_vitality"":0,""daily_medium_intensity_vitality"":0,""suggested_activity_duration"":18,""suggested_activity_type"":1,""date_time"":1748476800,""latest_accumulated_vitality"":10}",1748492123
6804018672,hlth.gen_125884730179666,calories,1748440920,"{""time"":1748440920,""calories"":0.39999998}",1748446318
6804018672,hlth.gen_125884730179666,steps,1748440920,"{""time"":1748440920,""steps"":10,""distance"":6,""calories"":0.39999998}",1748446316
6804018672,893061509,steps,1748440680,"{""time"":1748440680,""steps"":9,""distance"":7,""calories"":0}",1748488481
6804018672,893061509,steps,1748440620,"{""time"":1748440620,""steps"":7,""distance"":5,""calories"":2}",1748488481
6804018672,893061509,steps,1748440560,"{""time"":1748440560,""steps"":27,""distance"":21,""calories"":2}",1748488481
6804018672,893061509,steps,1748440500,"{""time"":1748440500,""steps"":63,""distance"":56,""calories"":2}",1748488481
6804018672,893061509,steps,1748440440,"{""time"":1748440440,""steps"":115,""distance"":81,""calories"":3}",1748488481
6804018672,893061509,steps,1748440380,"{""time"":1748440380,""steps"":117,""distance"":98,""calories"":3}",1748488481
6804018672,893061509,steps,1748440320,"{""time"":1748440320,""steps"":90,""distance"":59,""calories"":3}",1748488481
6804018672,893061509,steps,1748440260,"{""time"":1748440260,""steps"":28,""distance"":20,""calories"":3}",1748488481
6804018672,893061509,steps,1748440200,"{""time"":1748440200,""steps"":16,""distance"":12,""calories"":2}",1748488481
6804018672,893061509,steps,1748440080,"{""time"":1748440080,""steps"":6,""distance"":5,""calories"":3}",1748488481
6804018672,893061509,steps,1748439960,"{""time"":1748439960,""steps"":59,""distance"":52,""calories"":4}",1748488481
6804018672,893061509,steps,1748439900,"{""time"":1748439900,""steps"":30,""distance"":15,""calories"":3}",1748488481
6804018672,893061509,steps,1748439720,"{""time"":1748439720,""steps"":41,""distance"":31,""calories"":3}",1748488481
6804018672,893061509,steps,1748439660,"{""time"":1748439660,""steps"":7,""distance"":6,""calories"":2}",1748488481
6804018672,893061509,steps,1748439600,"{""time"":1748439600,""steps"":28,""distance"":21,""calories"":3}",1748488481
6804018672,893061509,steps,1748439420,"{""time"":1748439420,""steps"":17,""distance"":21,""calories"":5}",1748488481
6804018672,893061509,steps,1748439360,"{""time"":1748439360,""steps"":48,""distance"":29,""calories"":2}",1748488481
6804018672,893061509,steps,1748439300,"{""time"":1748439300,""steps"":3,""distance"":2,""calories"":2}",1748488481
6804018672,893061509,steps,1748439060,"{""time"":1748439060,""steps"":30,""distance"":23,""calories"":3}",1748488481
6804018672,893061509,steps,1748438880,"{""time"":1748438880,""steps"":10,""distance"":7,""calories"":0}",1748488481
6804018672,893061509,steps,1748438700,"{""time"":1748438700,""steps"":81,""distance"":76,""calories"":4}",1748488481
6804018672,893061509,steps,1748438640,"{""time"":1748438640,""steps"":103,""distance"":73,""calories"":3}",1748488481
6804018672,893061509,steps,1748438580,"{""time"":1748438580,""steps"":32,""distance"":17,""calories"":1}",1748488481
6804018672,893061509,sleep,1748438580,"{""bedtime"":1748435340,""sleep_deep_duration"":0,""device_bedtime"":1748435340,""device_wake_up_time"":1748438580,""sleep_light_duration"":0,""protoTime"":1748438580,""duration"":54,""timezone"":28,""version"":2,""awake_count"":0,""sleep_awake_duration"":0,""wake_up_time"":1748438580}",1748446319
6804018672,893061509,valid_stand,1748437200,"{""end_time"":1748440800,""start_time"":1748437200}",1748488483
6804018672,893061509,steps,1748435220,"{""time"":1748435220,""steps"":44,""distance"":43,""calories"":3}",1748488481
6804018672,893061509,steps,1748435160,"{""time"":1748435160,""steps"":98,""distance"":66,""calories"":5}",1748488481
6804018672,893061509,steps,1748435100,"{""time"":1748435100,""steps"":38,""distance"":40,""calories"":3}",1748488481
6804018672,893061509,steps,1748435040,"{""time"":1748435040,""steps"":37,""distance"":18,""calories"":2}",1748488481
6804018672,893061509,steps,1748434980,"{""time"":1748434980,""steps"":94,""distance"":81,""calories"":3}",1748488481
6804018672,893061509,steps,1748434920,"{""time"":1748434920,""steps"":101,""distance"":69,""calories"":4}",1748488481
6804018672,893061509,steps,1748434860,"{""time"":1748434860,""steps"":86,""distance"":71,""calories"":2}",1748488481
6804018672,893061509,steps,1748434800,"{""time"":1748434800,""steps"":35,""distance"":18,""calories"":1}",1748488481
6804018672,893061509,valid_stand,1748433600,"{""end_time"":1748437200,""start_time"":1748433600}",1748488483
6804018672,hlth.gen_125884730179666,steps,1748440680,"{""time"":1748440680,""steps"":14,""distance"":8,""calories"":0.56}",1748446316
6804018672,hlth.gen_125884730179666,calories,1748440680,"{""time"":1748440680,""calories"":0.56}",1748446318
6804018672,893061509,calories,1748440620,"{""time"":1748440620,""calories"":2}",1748488483
6804018672,893061509,calories,1748440560,"{""time"":1748440560,""calories"":2}",1748488483
6804018672,893061509,intensity,1748440500,"{""time"":1748440500}",1748488483
6804018672,893061509,calories,1748440500,"{""time"":1748440500,""calories"":2}",1748488483
